ICD9|ICD10|Description
012.35|A15.5|Tuberculosis of larynx, trachea and bronchus
012.36|A15.5|Tuberculosis of larynx, trachea and bronchus
012.80|A15.8|Other respiratory tuberculosis
012.81|A15.8|Other respiratory tuberculosis
012.82|A15.8|Other respiratory tuberculosis
012.83|A15.8|Other respiratory tuberculosis
012.84|A15.8|Other respiratory tuberculosis
012.85|A15.8|Other respiratory tuberculosis
012.86|A15.8|Other respiratory tuberculosis
013.00|A17.0|Tuberculous meningitis
013.01|A17.0|Tuberculous meningitis
013.02|A17.0|Tuberculous meningitis
013.03|A17.0|Tuberculous meningitis
013.04|A17.0|Tuberculous meningitis
013.05|A17.0|Tuberculous meningitis
013.06|A17.0|Tuberculous meningitis
013.10|A17.1|Meningeal tuberculoma
013.11|A17.1|Meningeal tuberculoma
013.12|A17.1|Meningeal tuberculoma
013.13|A17.1|Meningeal tuberculoma
013.14|A17.1|Meningeal tuberculoma
013.15|A17.1|Meningeal tuberculoma
013.16|A17.1|Meningeal tuberculoma
013.20|A17.81|Tuberculoma of brain and spinal cord
013.21|A17.81|Tuberculoma of brain and spinal cord
013.22|A17.81|Tuberculoma of brain and spinal cord
013.23|A17.81|Tuberculoma of brain and spinal cord
013.24|A17.81|Tuberculoma of brain and spinal cord
013.25|A17.81|Tuberculoma of brain and spinal cord
013.26|A17.81|Tuberculoma of brain and spinal cord
013.30|A17.81|Tuberculoma of brain and spinal cord
013.31|A17.81|Tuberculoma of brain and spinal cord
013.32|A17.81|Tuberculoma of brain and spinal cord
013.33|A17.81|Tuberculoma of brain and spinal cord
013.34|A17.81|Tuberculoma of brain and spinal cord
013.35|A17.81|Tuberculoma of brain and spinal cord
013.36|A17.81|Tuberculoma of brain and spinal cord
013.40|A17.81|Tuberculoma of brain and spinal cord
013.41|A17.81|Tuberculoma of brain and spinal cord
013.42|A17.81|Tuberculoma of brain and spinal cord
013.43|A17.81|Tuberculoma of brain and spinal cord
013.44|A17.81|Tuberculoma of brain and spinal cord
013.45|A17.81|Tuberculoma of brain and spinal cord
013.46|A17.81|Tuberculoma of brain and spinal cord
013.50|A17.81|Tuberculoma of brain and spinal cord
013.51|A17.81|Tuberculoma of brain and spinal cord
013.52|A17.81|Tuberculoma of brain and spinal cord
013.53|A17.81|Tuberculoma of brain and spinal cord
013.54|A17.81|Tuberculoma of brain and spinal cord
013.55|A17.81|Tuberculoma of brain and spinal cord
013.56|A17.81|Tuberculoma of brain and spinal cord
013.60|A17.82|Tuberculous meningoencephalitis
013.61|A17.82|Tuberculous meningoencephalitis
013.62|A17.82|Tuberculous meningoencephalitis
013.63|A17.82|Tuberculous meningoencephalitis
013.64|A17.82|Tuberculous meningoencephalitis
013.65|A17.82|Tuberculous meningoencephalitis
013.66|A17.82|Tuberculous meningoencephalitis
013.80|A17.89|Other tuberculosis of nervous system
013.81|A17.89|Other tuberculosis of nervous system
013.82|A17.89|Other tuberculosis of nervous system
013.83|A17.89|Other tuberculosis of nervous system
013.84|A17.89|Other tuberculosis of nervous system
013.85|A17.89|Other tuberculosis of nervous system
013.86|A17.89|Other tuberculosis of nervous system
013.90|A17.9|Tuberculosis of nervous system, unspecified
013.91|A17.9|Tuberculosis of nervous system, unspecified
013.92|A17.9|Tuberculosis of nervous system, unspecified
013.93|A17.9|Tuberculosis of nervous system, unspecified
013.94|A17.9|Tuberculosis of nervous system, unspecified
013.95|A17.9|Tuberculosis of nervous system, unspecified
013.96|A17.9|Tuberculosis of nervous system, unspecified
014.00|A18.31|Tuberculous peritonitis
014.01|A18.31|Tuberculous peritonitis
014.02|A18.31|Tuberculous peritonitis
014.03|A18.31|Tuberculous peritonitis
014.04|A18.31|Tuberculous peritonitis
014.05|A18.31|Tuberculous peritonitis
014.06|A18.31|Tuberculous peritonitis
014.80|A18.32|Tuberculous enteritis
014.80|A18.39|Diagnostico no disponible
014.81|A18.32|Tuberculous enteritis
014.81|A18.39|Diagnostico no disponible
014.82|A18.32|Tuberculous enteritis
014.82|A18.39|Diagnostico no disponible
014.83|A18.32|Tuberculous enteritis
014.83|A18.39|Diagnostico no disponible
014.84|A18.32|Tuberculous enteritis
014.84|A18.39|Diagnostico no disponible
014.85|A18.32|Tuberculous enteritis
014.85|A18.39|Diagnostico no disponible
014.86|A18.32|Tuberculous enteritis
014.86|A18.39|Diagnostico no disponible
015.00|A18.01|Tuberculosis of spine
015.01|A18.01|Tuberculosis of spine
015.02|A18.01|Tuberculosis of spine
015.03|A18.01|Tuberculosis of spine
015.04|A18.01|Tuberculosis of spine
015.05|A18.01|Tuberculosis of spine
015.06|A18.01|Tuberculosis of spine
015.10|A18.02|Tuberculous arthritis of other joints
015.11|A18.02|Tuberculous arthritis of other joints
015.12|A18.02|Tuberculous arthritis of other joints
015.13|A18.02|Tuberculous arthritis of other joints
015.14|A18.02|Tuberculous arthritis of other joints
015.15|A18.02|Tuberculous arthritis of other joints
015.16|A18.02|Tuberculous arthritis of other joints
015.20|A18.02|Tuberculous arthritis of other joints
015.21|A18.02|Tuberculous arthritis of other joints
015.22|A18.02|Tuberculous arthritis of other joints
015.23|A18.02|Tuberculous arthritis of other joints
015.24|A18.02|Tuberculous arthritis of other joints
015.25|A18.02|Tuberculous arthritis of other joints
015.26|A18.02|Tuberculous arthritis of other joints
015.50|A18.03|Tuberculosis of other bones
015.51|A18.03|Tuberculosis of other bones
015.52|A18.03|Tuberculosis of other bones
015.53|A18.03|Tuberculosis of other bones
015.54|A18.03|Tuberculosis of other bones
015.55|A18.03|Tuberculosis of other bones
015.56|A18.03|Tuberculosis of other bones
015.60|A18.03|Tuberculosis of other bones
015.61|A18.03|Tuberculosis of other bones
015.62|A18.03|Tuberculosis of other bones
015.63|A18.03|Tuberculosis of other bones
015.64|A18.03|Tuberculosis of other bones
015.65|A18.03|Tuberculosis of other bones
015.66|A18.03|Tuberculosis of other bones
015.70|A18.03|Tuberculosis of other bones
015.71|A18.03|Tuberculosis of other bones
015.72|A18.03|Tuberculosis of other bones
015.73|A18.03|Tuberculosis of other bones
015.74|A18.03|Tuberculosis of other bones
015.75|A18.03|Tuberculosis of other bones
015.76|A18.03|Tuberculosis of other bones
015.80|A18.02|Tuberculous arthritis of other joints
015.81|A18.02|Tuberculous arthritis of other joints
015.82|A18.02|Tuberculous arthritis of other joints
015.83|A18.02|Tuberculous arthritis of other joints
015.84|A18.02|Tuberculous arthritis of other joints
015.85|A18.02|Tuberculous arthritis of other joints
015.86|A18.02|Tuberculous arthritis of other joints
015.90|A18.02|Tuberculous arthritis of other joints
015.90|A18.03|Diagnostico no disponible
015.91|A18.02|Tuberculous arthritis of other joints
015.91|A18.03|Diagnostico no disponible
015.92|A18.02|Tuberculous arthritis of other joints
015.92|A18.03|Diagnostico no disponible
015.93|A18.02|Tuberculous arthritis of other joints
015.93|A18.03|Diagnostico no disponible
015.94|A18.02|Tuberculous arthritis of other joints
015.94|A18.03|Diagnostico no disponible
015.95|A18.02|Tuberculous arthritis of other joints
015.95|A18.03|Diagnostico no disponible
015.96|A18.02|Tuberculous arthritis of other joints
015.96|A18.03|Diagnostico no disponible
016.00|A18.11|Tuberculosis of kidney and ureter
016.01|A18.11|Tuberculosis of kidney and ureter
016.02|A18.11|Tuberculosis of kidney and ureter
016.03|A18.11|Tuberculosis of kidney and ureter
016.04|A18.11|Tuberculosis of kidney and ureter
016.05|A18.11|Tuberculosis of kidney and ureter
016.06|A18.11|Tuberculosis of kidney and ureter
016.10|A18.12|Tuberculosis of bladder
016.11|A18.12|Tuberculosis of bladder
016.12|A18.12|Tuberculosis of bladder
016.13|A18.12|Tuberculosis of bladder
016.14|A18.12|Tuberculosis of bladder
016.15|A18.12|Tuberculosis of bladder
016.16|A18.12|Tuberculosis of bladder
016.20|A18.11|Tuberculosis of kidney and ureter
016.21|A18.11|Tuberculosis of kidney and ureter
016.22|A18.11|Tuberculosis of kidney and ureter
016.23|A18.11|Tuberculosis of kidney and ureter
016.24|A18.11|Tuberculosis of kidney and ureter
016.25|A18.11|Tuberculosis of kidney and ureter
016.26|A18.11|Tuberculosis of kidney and ureter
016.30|A18.13|Tuberculosis of other urinary organs
016.31|A18.13|Tuberculosis of other urinary organs
016.32|A18.13|Tuberculosis of other urinary organs
016.33|A18.13|Tuberculosis of other urinary organs
016.34|A18.13|Tuberculosis of other urinary organs
016.35|A18.13|Tuberculosis of other urinary organs
016.36|A18.13|Tuberculosis of other urinary organs
016.40|A18.15|Tuberculosis of other male genital organs
016.41|A18.15|Tuberculosis of other male genital organs
016.42|A18.15|Tuberculosis of other male genital organs
016.43|A18.15|Tuberculosis of other male genital organs
016.44|A18.15|Tuberculosis of other male genital organs
016.45|A18.15|Tuberculosis of other male genital organs
016.46|A18.15|Tuberculosis of other male genital organs
016.50|A18.14|Diagnostico no disponible
016.50|A18.15|Tuberculosis of other male genital organs
016.51|A18.14|Diagnostico no disponible
016.51|A18.15|Tuberculosis of other male genital organs
016.52|A18.14|Diagnostico no disponible
016.52|A18.15|Tuberculosis of other male genital organs
016.53|A18.14|Diagnostico no disponible
016.53|A18.15|Tuberculosis of other male genital organs
016.54|A18.14|Diagnostico no disponible
016.54|A18.15|Tuberculosis of other male genital organs
016.55|A18.14|Diagnostico no disponible
016.55|A18.15|Tuberculosis of other male genital organs
016.56|A18.14|Diagnostico no disponible
016.56|A18.15|Tuberculosis of other male genital organs
016.60|A18.17|Tuberculous female pelvic inflammatory disease
016.61|A18.17|Tuberculous female pelvic inflammatory disease
016.62|A18.17|Tuberculous female pelvic inflammatory disease
016.63|A18.17|Tuberculous female pelvic inflammatory disease
016.64|A18.17|Tuberculous female pelvic inflammatory disease
016.65|A18.17|Tuberculous female pelvic inflammatory disease
016.66|A18.17|Tuberculous female pelvic inflammatory disease
016.70|A18.16|Diagnostico no disponible
016.70|A18.17|Diagnostico no disponible
016.70|A18.18|Tuberculosis of other female genital organs
016.71|A18.16|Diagnostico no disponible
016.71|A18.17|Diagnostico no disponible
016.71|A18.18|Tuberculosis of other female genital organs
016.72|A18.16|Diagnostico no disponible
016.72|A18.17|Diagnostico no disponible
016.72|A18.18|Tuberculosis of other female genital organs
016.73|A18.16|Diagnostico no disponible
016.73|A18.17|Diagnostico no disponible
016.73|A18.18|Tuberculosis of other female genital organs
016.74|A18.16|Diagnostico no disponible
016.74|A18.17|Diagnostico no disponible
016.74|A18.18|Tuberculosis of other female genital organs
016.75|A18.16|Diagnostico no disponible
016.75|A18.17|Diagnostico no disponible
016.75|A18.18|Tuberculosis of other female genital organs
016.76|A18.16|Diagnostico no disponible
016.76|A18.17|Diagnostico no disponible
016.76|A18.18|Tuberculosis of other female genital organs
016.90|A18.10|Tuberculosis of genitourinary system, unspecified
016.91|A18.10|Tuberculosis of genitourinary system, unspecified
016.92|A18.10|Tuberculosis of genitourinary system, unspecified
016.93|A18.10|Tuberculosis of genitourinary system, unspecified
016.94|A18.10|Tuberculosis of genitourinary system, unspecified
016.95|A18.10|Tuberculosis of genitourinary system, unspecified
016.96|A18.10|Diagnostico no disponible
017.00|A18.4|Tuberculosis of skin and subcutaneous tissue
017.01|A18.4|Tuberculosis of skin and subcutaneous tissue
017.02|A18.4|Tuberculosis of skin and subcutaneous tissue
017.03|A18.4|Tuberculosis of skin and subcutaneous tissue
017.04|A18.4|Tuberculosis of skin and subcutaneous tissue
017.05|A18.4|Tuberculosis of skin and subcutaneous tissue
017.06|A18.4|Tuberculosis of skin and subcutaneous tissue
017.10|A18.4|Tuberculosis of skin and subcutaneous tissue
017.11|A18.4|Tuberculosis of skin and subcutaneous tissue
017.12|A18.4|Tuberculosis of skin and subcutaneous tissue
017.13|A18.4|Tuberculosis of skin and subcutaneous tissue
017.14|A18.4|Tuberculosis of skin and subcutaneous tissue
017.15|A18.4|Tuberculosis of skin and subcutaneous tissue
017.16|A18.4|Tuberculosis of skin and subcutaneous tissue
017.20|A18.2|Tuberculous peripheral lymphadenopathy
017.21|A18.2|Tuberculous peripheral lymphadenopathy
017.22|A18.2|Tuberculous peripheral lymphadenopathy
017.23|A18.2|Tuberculous peripheral lymphadenopathy
017.24|A18.2|Tuberculous peripheral lymphadenopathy
017.25|A18.2|Tuberculous peripheral lymphadenopathy
017.26|A18.2|Tuberculous peripheral lymphadenopathy
017.30|A18.50|Tuberculosis of eye, unspecified
017.30|A18.51|Diagnostico no disponible
017.30|A18.52|Diagnostico no disponible
017.30|A18.53|Diagnostico no disponible
017.30|A18.54|Diagnostico no disponible
017.30|A18.59|Diagnostico no disponible
017.31|A18.50|Diagnostico no disponible
017.31|A18.51|Tuberculous episcleritis
017.31|A18.52|Diagnostico no disponible
017.31|A18.54|Diagnostico no disponible
017.31|A18.59|Diagnostico no disponible
017.32|A18.50|Diagnostico no disponible
017.32|A18.51|Tuberculous episcleritis
017.32|A18.52|Diagnostico no disponible
017.32|A18.54|Diagnostico no disponible
017.32|A18.59|Diagnostico no disponible
017.33|A18.50|Diagnostico no disponible
017.33|A18.51|Tuberculous episcleritis
017.33|A18.52|Diagnostico no disponible
017.33|A18.54|Diagnostico no disponible
017.33|A18.59|Diagnostico no disponible
017.34|A18.50|Diagnostico no disponible
017.34|A18.51|Tuberculous episcleritis
017.34|A18.52|Diagnostico no disponible
017.34|A18.54|Diagnostico no disponible
017.34|A18.59|Diagnostico no disponible
017.35|A18.50|Diagnostico no disponible
017.35|A18.51|Tuberculous episcleritis
017.35|A18.52|Diagnostico no disponible
017.35|A18.54|Diagnostico no disponible
017.35|A18.59|Diagnostico no disponible
017.36|A18.50|Diagnostico no disponible
017.36|A18.51|Tuberculous episcleritis
017.36|A18.52|Diagnostico no disponible
017.36|A18.54|Diagnostico no disponible
017.36|A18.59|Diagnostico no disponible
017.40|A18.6|Tuberculosis of (inner) (middle) ear
017.41|A18.6|Tuberculosis of (inner) (middle) ear
017.42|A18.6|Tuberculosis of (inner) (middle) ear
017.43|A18.6|Tuberculosis of (inner) (middle) ear
017.44|A18.6|Tuberculosis of (inner) (middle) ear
017.45|A18.6|Tuberculosis of (inner) (middle) ear
017.46|A18.6|Tuberculosis of (inner) (middle) ear
017.50|A18.81|Tuberculosis of thyroid gland
017.51|A18.81|Tuberculosis of thyroid gland
017.52|A18.81|Tuberculosis of thyroid gland
017.53|A18.81|Tuberculosis of thyroid gland
017.54|A18.81|Tuberculosis of thyroid gland
017.55|A18.81|Tuberculosis of thyroid gland
017.56|A18.81|Tuberculosis of thyroid gland
017.60|A18.7|Tuberculosis of adrenal glands
017.61|A18.7|Tuberculosis of adrenal glands
017.62|A18.7|Tuberculosis of adrenal glands
017.63|A18.7|Tuberculosis of adrenal glands
017.64|A18.7|Tuberculosis of adrenal glands
017.65|A18.7|Tuberculosis of adrenal glands
017.66|A18.7|Tuberculosis of adrenal glands
017.70|A18.85|Tuberculosis of spleen
017.71|A18.85|Tuberculosis of spleen
017.72|A18.85|Tuberculosis of spleen
017.73|A18.85|Tuberculosis of spleen
017.74|A18.85|Tuberculosis of spleen
017.75|A18.85|Tuberculosis of spleen
017.76|A18.85|Tuberculosis of spleen
017.80|A18.89|Tuberculosis of other sites
017.81|A18.89|Tuberculosis of other sites
017.82|A18.89|Tuberculosis of other sites
017.83|A18.89|Tuberculosis of other sites
017.84|A18.89|Tuberculosis of other sites
017.85|A18.89|Tuberculosis of other sites
017.86|A18.89|Tuberculosis of other sites
017.90|A18.84|Tuberculosis of heart
017.91|A18.84|Diagnostico no disponible
017.91|A18.89|Tuberculosis of other sites
017.92|A18.84|Diagnostico no disponible
017.92|A18.89|Tuberculosis of other sites
017.93|A18.84|Diagnostico no disponible
017.93|A18.89|Tuberculosis of other sites
017.94|A18.84|Diagnostico no disponible
017.94|A18.89|Tuberculosis of other sites
017.95|A18.84|Diagnostico no disponible
017.95|A18.89|Tuberculosis of other sites
017.96|A18.84|Diagnostico no disponible
017.96|A18.89|Tuberculosis of other sites
018.00|A19.2|Acute miliary tuberculosis, unspecified
018.01|A19.2|Acute miliary tuberculosis, unspecified
018.02|A19.2|Acute miliary tuberculosis, unspecified
018.03|A19.2|Acute miliary tuberculosis, unspecified
018.04|A19.2|Acute miliary tuberculosis, unspecified
018.05|A19.2|Acute miliary tuberculosis, unspecified
018.06|A19.2|Acute miliary tuberculosis, unspecified
018.80|A19.8|Other miliary tuberculosis
018.81|A19.8|Other miliary tuberculosis
018.82|A19.8|Other miliary tuberculosis
018.83|A19.8|Other miliary tuberculosis
018.84|A19.8|Other miliary tuberculosis
018.85|A19.8|Other miliary tuberculosis
018.86|A19.8|Other miliary tuberculosis
018.90|A19.9|Miliary tuberculosis, unspecified
018.91|A19.9|Miliary tuberculosis, unspecified
018.92|A19.9|Miliary tuberculosis, unspecified
018.93|A19.9|Miliary tuberculosis, unspecified
018.94|A19.9|Miliary tuberculosis, unspecified
018.95|A19.9|Miliary tuberculosis, unspecified
018.96|A19.9|Miliary tuberculosis, unspecified
020.0|A20.0|Bubonic plague
020.1|A20.1|Cellulocutaneous plague
020.2|A20.7|Septicemic plague
020.3|A20.2|Pneumonic plague
020.4|A20.2|Pneumonic plague
020.5|A20.2|Pneumonic plague
020.8|A20.8|Other forms of plague
020.9|A20.9|Plague, unspecified
021.0|A21.0|Ulceroglandular tularemia
021.1|A21.3|Gastrointestinal tularemia
021.2|A21.2|Pulmonary tularemia
021.3|A21.1|Oculoglandular tularemia
021.8|A21.7|Diagnostico no disponible
021.8|A21.8|Other forms of tularemia
021.9|A21.9|Tularemia, unspecified
022.0|A22.0|Cutaneous anthrax
022.1|A22.1|Pulmonary anthrax
022.2|A22.2|Gastrointestinal anthrax
022.3|A22.7|Anthrax sepsis
022.8|A22.8|Other forms of anthrax
022.9|A22.9|Anthrax, unspecified
023.0|A23.0|Brucellosis due to Brucella melitensis
023.1|A23.1|Brucellosis due to Brucella abortus
023.2|A23.2|Brucellosis due to Brucella suis
023.3|A23.3|Brucellosis due to Brucella canis
023.8|A23.8|Other brucellosis
023.9|A23.9|Brucellosis, unspecified
024|A24.0|Glanders
025|A24.3|Other melioidosis
025|A24.9|Diagnostico no disponible
026.0|A25.0|Spirillosis
026.1|A25.1|Streptobacillosis
026.9|A25.9|Rat-bite fever, unspecified
027.0|A32.11|Listerial meningitis
027.0|A32.12|Diagnostico no disponible
027.0|A32.7|Diagnostico no disponible
027.0|A32.81|Diagnostico no disponible
027.0|A32.89|Diagnostico no disponible
