ICD9|ICD10|Description
V23.82|O09.521|Supervisión de multigrávida añosa, primer trimestre
V23.83|O09.611|Supervisión de primigrávida joven, primer trimestre
V23.84|O09.621|Supervisión de multígrávida joven, primer trimestre
V23.85|O09.819|Supervisión de embarazo resultante de técnica de reproducción asistida, trimestre no especificado
V23.86|O09.821|Supervisión de embarazo con historia de procedimiento sobre útero en el embarazo anterior, primer trimestre
V23.86|O09.822|Supervisión de embarazo con historia de procedimiento sobre útero en el embarazo anterior, segundo trimestre
V23.86|O09.823|Supervisión de embarazo con historia de procedimiento sobre útero en el embarazo anterior, tercer trimestre
V23.86|O09.829|Supervisión de embarazo con historia de procedimiento sobre útero en el embarazo anterior, trimestre no especificado
V23.89|O09.891|Supervisión de otros embarazos de alto riesgo, primer trimestre
V23.89|O09.892|Supervisión de otros embarazos de alto riesgo, segundo trimestre
V23.89|O09.893|Supervisión de otros embarazos de alto riesgo, tercer trimestre
V23.89|O09.899|Supervisión de otros embarazos de alto riesgo, trimestre no especificado
V23.9|O09.90|Supervisión de embarazo de alto riesgo, no especificado, trimestre no especificado
V23.9|O09.91|Supervisión de embarazo de alto riesgo, no especificado, primer trimestre
V23.9|O09.92|Supervisión de embarazo de alto riesgo, no especificado, segundo trimestre
V23.9|O09.93|Supervisión de embarazo de alto riesgo, no especificado, tercer trimestre
V91.00|O30.009|Embarazo gemelar, no especificado el número de placentas ni de sacos amnióticos, trimestre no especificado
V91.01|O30.019|Embarazo gemelar monocoriónico/ monoamniótico, trimestre no especificado
V91.02|O30.039|Embarazo gemelar monocoriónico/ diamniótico, trimestre no especificado
V91.03|O30.049|Embarazo gemelar dicoriónico/ diamniótico, trimestre no especificado
V91.09|O30.099|Embarazo gemelar, sin poder determinar el número de placentas ni de sacos amnióticos, trimestre no especificado
V91.10|O30.109|Embarazo triple, no especificado el número de placentas ni de sacos amnióticos, trimestre no especificado
V91.11|O30.119|Embarazo triple con dos o más fetos monocoriónicos, trimestre no especificado
V91.12|O30.129|Embarazo triple con dos o más fetos monoamnióticos, trimestre no especificado
V91.19|O30.199|Embarazo triple, sin poder determinar el número de placentas ni de sacos amnióticos, trimestre no especificado
V91.20|O30.209|Embarazo cuádruple, no especificado el número de placentas ni de sacos amnióticos, trimestre no especificado
V91.21|O30.219|Embarazo cuádruple con dos o más fetos monocoriónicos, trimestre no especificado
V91.22|O30.229|Embarazo cuádruple con dos o más fetos monoamnióticos, trimestre no especificado
V91.29|O30.299|Embarazo cuádruple, sin poder determinar el número de placentas ni de sacos amnióticos, trimestre no especificado
V91.90|O30.809|Otro embarazo múltiple especificado, no especificado el número de placentas ni de sacos amnióticos, trimestre no especificado
V91.91|O30.819|Otro embarazo múltiple especificado con dos o más fetos monocoriónicos, trimestre no especificado
V91.92|O30.829|Otro embarazo múltiple especificado con dos o más fetos monoamnióticos, trimestre no especificado
V91.99|O30.899|Otro embarazo múltiple especificado, sin poder determinar el número de placentas ni de sacos amnióticos, trimestre no especificado
V23.87|O36.80X0|Embarazo con viabilidad fetal no concluyente, no aplicable o no especificado
V29.0|P00.2|Recién nacido afectado por enfermedades infecciosas y parasitarias de la madre
V29.2|P00.3|Recién nacido afectado por otras enfermedades circulatorias y respiratorias de la madre
V29.1|P00.89|Recién nacido afectado por otras patologías maternas
V29.3|P00.89|Recién nacido afectado por otras patologías maternas
V29.8|P00.89|Recién nacido afectado por otras patologías maternas
V29.9|P00.9|Recién nacido afectado por patologías maternas no especificadas
V21.31|P07.01|Recién nacido de peso extremadamente bajo al nacer, menos de 500 gramos
V21.32|P07.02|Recién nacido de peso extremadamente bajo al nacer, 500-749 gramos
V21.32|P07.03|Recién nacido de peso extremadamente bajo al nacer, 750-999 gramos
V21.30|P07.10|Recién nacido con otro tipo de bajo peso al nacer, peso no especificado
V21.33|P07.14|Recién nacido con otro tipo de bajo peso al nacer, 1000-1249 gramos
V21.33|P07.15|Recién nacido con otro tipo de bajo peso al nacer, 1250-1499 gramos
V21.34|P07.16|Recién nacido con otro tipo de bajo peso al nacer, 1500-1749 gramos
V21.34|P07.17|Recién nacido con otro tipo de bajo peso al nacer, 1750-1999 gramos
V21.35|P07.18|Recién nacido con otro tipo de bajo peso al nacer, 2000-2499 gramos
V41.6|R13.10|Disfagia, no especificada
V41.8|R68.89|Otros síntomas y signos generales
V47.1|R68.89|Otros síntomas y signos generales
V47.2|R68.89|Otros síntomas y signos generales
V47.3|R68.89|Otros síntomas y signos generales
V47.4|R68.89|Otros síntomas y signos generales
V47.5|R68.89|Otros síntomas y signos generales
V47.9|R68.89|Otros síntomas y signos generales
V48.0|R68.89|Otros síntomas y signos generales
V48.1|R68.89|Otros síntomas y signos generales
V48.2|R68.89|Otros síntomas y signos generales
V48.3|R68.89|Otros síntomas y signos generales
V48.4|R68.89|Otros síntomas y signos generales
V48.5|R68.89|Otros síntomas y signos generales
V48.6|R68.89|Otros síntomas y signos generales
V48.7|R68.89|Otros síntomas y signos generales
V48.8|R68.89|Otros síntomas y signos generales
V48.9|R68.89|Otros síntomas y signos generales
V49.0|R68.89|Otros síntomas y signos generales
V49.1|R68.89|Otros síntomas y signos generales
V49.2|R68.89|Otros síntomas y signos generales
V49.3|R68.89|Otros síntomas y signos generales
V49.4|R68.89|Otros síntomas y signos generales
V49.5|R68.89|Otros síntomas y signos generales
V41.9|R69|Enfermedad NEOM
V41.5|R43.9|Alteraciones del olfato y el gusto no especificadas
V62.85|R45.850|Ideaciones homicidas 
V62.84|R45.851|Ideaciones suicidas
V41.4|R47.89|Otros trastornos del habla
V54.17|S12.000D|Fractura no especificada desplazada de primera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.001D|Fractura no especificada sin desplazamiento de primera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.01XD|Fractura por estallido estable de primera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.02XD|Fractura por estallido inestable de primera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.030D|Fractura de arco posterior desplazada de primera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.031D|Fractura de arco posterior sin desplazamiento de primera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.040D|Fractura de masa lateral desplazada de primera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.041D|Fractura de masa lateral sin desplazamiento de primera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.090D|Otro tipo de fractura desplazada de primera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.091D|Otro tipo de fractura sin desplazamiento de primera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.100D|Fractura no especificada desplazada de segunda vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.101D|Fractura no especificada sin desplazamiento de segunda vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.110D|Fractura de odontoides tipo II con desplazamiento anterior, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.111D|Fractura de odontoides tipo II con desplazamiento posterior, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.112D|Fractura de odontoides tipo II sin desplazamiento, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.120D|Otro tipo de fractura de odontoides desplazada, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.121D|Otro tipo de fractura de odontoides sin desplazamiento, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.130D|Espondilolistesis traumática no especificada desplazada de segunda vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.131D|Espondilolistesis traumática no especificada sin desplazamiento de segunda vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.14XD|Espondilolistesis traumática tipo III de segunda vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.150D|Otros tipos de espondilolistesis traumática desplazada de segunda vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.151D|Otros tipos de espondilolistesis traumática sin desplazamiento de segunda vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.190D|Otro tipo de fractura desplazada de segunda vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.191D|Otro tipo de fractura sin desplazamiento de segunda vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.200D|Fractura no especificada desplazada de tercera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.201D|Fractura no especificada sin desplazamiento de tercera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.230D|Espondilolistesis traumática no especificada desplazada de tercera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.231D|Espondilolistesis traumática no especificada sin desplazamiento de tercera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.24XD|Espondilolistesis traumática tipo III de tercera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.250D|Otros tipos de espondilolistesis traumática desplazada de tercera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.251D|Otros tipos de espondilolistesis traumática sin desplazamiento de tercera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.290D|Otro tipo de fractura desplazada de tercera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.291D|Otro tipo de fractura sin desplazamiento de tercera vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.300D|Fractura no especificada desplazada de cuarta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.301D|Fractura no especificada sin desplazamiento de cuarta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.330D|Espondilolistesis traumática no especificada desplazada de cuarta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.331D|Espondilolistesis traumática no especificada sin desplazamiento de cuarta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.34XD|Espondilolistesis traumática tipo III de cuarta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.350D|Otros tipos de espondilolistesis traumática desplazada de cuarta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.351D|Otros tipos de espondilolistesis traumática sin desplazamiento de cuarta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.390D|Otro tipo de fractura desplazada de cuarta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.391D|Otro tipo de fractura sin desplazamiento de cuarta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.400D|Fractura no especificada desplazada de quinta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.401D|Fractura no especificada sin desplazamiento de quinta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.430D|Espondilolistesis traumática no especificada desplazada de quinta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.431D|Espondilolistesis traumática no especificada sin desplazamiento de quinta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.44XD|Espondilolistesis traumática tipo III de quinta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.450D|Otros tipos de espondilolistesis traumática desplazada de quinta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.451D|Otros tipos de espondilolistesis traumática sin desplazamiento de quinta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.490D|Otro tipo de fractura desplazada de quinta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.491D|Otro tipo de fractura sin desplazamiento de quinta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.500D|Fractura no especificada desplazada de sexta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.501D|Fractura no especificada sin desplazamiento de sexta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.530D|Espondilolistesis traumática no especificada desplazada de sexta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.531D|Espondilolistesis traumática no especificada sin desplazamiento de sexta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.54XD|Espondilolistesis traumática tipo III de sexta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.550D|Otros tipos de espondilolistesis traumática desplazada de sexta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.551D|Otros tipos de espondilolistesis traumática sin desplazamiento de sexta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.590D|Otro tipo de fractura desplazada de sexta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.591D|Otro tipo de fractura sin desplazamiento de sexta vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.600D|Fractura no especificada desplazada de séptima vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.601D|Fractura no especificada sin desplazamiento de séptima vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.630D|Espondilolistesis traumática no especificada desplazada de séptima vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.631D|Espondilolistesis traumática no especificada sin desplazamiento de séptima vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.64XD|Espondilolistesis traumática tipo III de séptima vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.650D|Otros tipos de espondilolistesis traumática desplazada de séptima vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.651D|Otros tipos de espondilolistesis traumática sin desplazamiento de séptima vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.690D|Otro tipo de fractura desplazada de séptima vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.17|S12.691D|Otro tipo de fractura sin desplazamiento de séptima vértebra cervical, contacto sucesivo por fractura con curas rutinarias
V54.19|S12.8XXD|Fractura de otras partes del cuello, contacto sucesivo
V54.17|S12.9XXD|Fractura del cuello, no especificada, contacto sucesivo
V54.17|S22.000D|Fractura en cuña por compresión de vértebra dorsal no especificada, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.001D|Fractura por estallido estable de vértebra dorsal no especificada, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.002D|Fractura por estallido inestable de vértebra dorsal no especificada, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.008D|Otra fractura de vértebra dorsal no especificada, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.009D|Fractura no especificada de vértebra dorsal no especificada, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.010D|Fractura en cuña por compresión de primera vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.011D|Fractura por estallido estable de primera vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.012D|Fractura por estallido inestable de primera vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.018D|Otra fractura de primera vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.019D|Fractura no especificada de primera vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.020D|Fractura en cuña por compresión de segunda vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.021D|Fractura por estallido estable de segunda vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.022D|Fractura por estallido inestable de segunda vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.028D|Otra fractura de segunda vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.029D|Fractura no especificada de segunda vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.030D|Fractura en cuña por compresión de tercera vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.031D|Fractura por estallido estable de tercera vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.032D|Fractura por estallido inestable de tercera vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.038D|Otra fractura de tercera vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.039D|Fractura no especificada de tercera vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.040D|Fractura en cuña por compresión de cuarta vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.041D|Fractura por estallido estable de cuarta vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.042D|Fractura por estallido inestable de cuarta vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.048D|Otra fractura de cuarta vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.049D|Fractura no especificada de cuarta vértebra dorsal, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.050D|Fractura en cuña por compresión de vértebras D5-D6, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.051D|Fractura por estallido estable de vértebras D5-D6, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.052D|Fractura por estallido inestable de vértebras D5-D6, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.058D|Otra fractura de vértebras D5-D6, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.059D|Fractura no especificada de vértebras D5-D6, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.060D|Fractura en cuña por compresión de vértebra D7-D8, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.061D|Fractura por estallido estable de vértebra D7-D8, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.062D|Fractura por estallido inestable de vértebra D7-D8, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.068D|Otra fractura de vértebras dorsales D7-D8, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.069D|Fractura no especificada de vértebra D7-D8, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.070D|Fractura en cuña por compresión de vértebras D9-D10, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.071D|Fractura por estallido estable de vértebras D9-D10, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.072D|Fractura por estallido inestable de vértebras D9-D10, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.078D|Otra fractura de vértebras D9-D10, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.079D|Fractura no especificada de vértebras D9-D10, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.080D|Fractura en cuña por compresión de vértebras D11-D12, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.081D|Fractura por estallido estable de vértebras D11-D12, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.082D|Fractura por estallido inestable de vértebras D11-D12, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.088D|Otra fractura de vértebras D11-D12, contacto sucesivo por fractura con curas rutinarias
V54.17|S22.089D|Fractura no especificada de vértebras D11-D12, contacto sucesivo por fractura con curas rutinarias
V54.19|S22.20XD|Fractura no especificada de esternón, contacto sucesivo por fractura con curas rutinarias
V54.19|S22.21XD|Fractura de manubrio, contacto sucesivo por fractura con curas rutinarias
V54.19|S22.22XD|Fractura de cuerpo de esternón, contacto sucesivo por fractura con curas rutinarias
V54.19|S22.23XD|Separación del manubrio esternal, contacto sucesivo por fractura con curas rutinarias
V54.19|S22.24XD|Fractura de apófisis xifoides, contacto sucesivo por fractura con curas rutinarias
V54.19|S22.31XD|Fractura de una costilla de lado derecho, contacto sucesivo por fractura con curas rutinarias
V54.19|S22.32XD|Fractura de una costilla de lado izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.19|S22.39XD|Fractura de una costilla, lado no especificado, contacto sucesivo por fractura con curas rutinarias
V54.19|S22.41XD|Fracturas múltiples de costillas de lado derecho, contacto sucesivo por fractura con curas rutinarias
V54.19|S22.42XD|Fracturas múltiples de costillas de lado izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.19|S22.43XD|Fracturas múltiples de costillas, bilateral, contacto sucesivo por fractura con curas rutinarias
V54.19|S22.49XD|Fracturas múltiples de costillas, lado no especificado, contacto sucesivo por fractura con curas rutinarias
V54.19|S22.5XXD|Volet torácico, contacto sucesivo por fractura con curas rutinarias
V54.19|S22.9XXD|Fractura de tórax óseo, parte no especificada, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.0XXD|Fractura de bóveda de cráneo, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.110D|Fractura de cóndilo occipital tipo I, lado no especificado, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.111D|Fractura de cóndilo occipital tipo II, lado no especificado, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.112D|Fractura de cóndilo occipital tipo III, lado no especificado, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.113D|Fractura no especificada de cóndilo occipital, lado no especificado, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.118D|Otra fractura de occipucio, lado no especificado, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.119D|Fractura no especificada de occipucio, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.19XD|Otra fractura de base de cráneo, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.2XXD|Fractura de huesos nasales, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.400D|Fractura malar, lado no especificado, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.401D|Fractura maxilar, lado no especificado, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.402D|Fractura cigomática, lado no especificado, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.411D|Fractura de LeFort tipo I, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.412D|Fractura de LeFort tipo II, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.413D|Fractura de LFort tipo III, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.42XD|Fractura de alveolos del maxilar, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.5XXD|Fractura de diente (traumática), contacto sucesivo por fractura con curas rutinarias
V54.19|S02.600D|Fractura de parte no especificada de cuerpo de mandíbula, lado no especificado, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.609D|Fractura de mandíbula no especificada, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.66XD|Fractura de sínfisis de mandíbula, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.69XD|Fractura de mandíbula de otra localización especificada, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.91XD|Fractura no especificada de cráneo, contacto sucesivo por fractura con curas rutinarias
V54.19|S02.92XD|Fractura no especificada de huesos de la cara, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.001D|Fractura de parte no especificada de clavícula derecha, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.002D|Fractura de parte no especificada de clavícula izquierda, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.009D|Fractura de parte no especificada de clavícula no especificada, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.011D|Fractura con desplazamiento anterior de extremo esternal de clavícula derecha, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.012D|Fractura con desplazamiento anterior de extremo esternal de clavícula izquierda, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.013D|Fractura con desplazamiento anterior de extremo esternal de clavícula no especificada, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.014D|Fractura con desplazamiento posterior de extremo esternal de clavícula derecha, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.015D|Fractura con desplazamiento posterior de extremo esternal de clavícula izquierda, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.016D|Fractura con desplazamiento posterior de extremo esternal de clavícula no especificada, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.017D|Fractura sin desplazamiento de extremo esternal de clavícula derecha, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.018D|Fractura sin desplazamiento de extremo esternal de clavícula izquierda, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.019D|Fractura sin desplazamiento de extremo esternal de clavícula no especificada, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.021D|Fractura desplazada de diáfisis de clavícula derecha, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.022D|Fractura desplazada de diáfisis de clavícula izquierda, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.023D|Fractura desplazada de diáfisis de clavícula no especificada, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.024D|Fractura sin desplazamiento de diáfisis de clavícula derecha, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.025D|Fractura sin desplazamiento de diáfisis de clavícula izquierda, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.026D|Fractura sin desplazamiento de diáfisis de clavícula no especificada, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.031D|Fractura desplazada de extremo lateral de clavícula derecha, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.032D|Fractura desplazada de extremo lateral de clavícula izquierda, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.033D|Fractura desplazada de extremo lateral de clavícula no especificada, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.034D|Fractura sin desplazamiento de extremo lateral de clavícula derecha, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.035D|Fractura sin desplazamiento de extremo lateral de clavícula izquierda, contacto sucesivo por fractura con curas rutinarias
V54.19|S42.036D|Fractura sin desplazamiento de extremo lateral de clavícula no especificada, contacto sucesivo por fractura con curas rutinarias
V54.11|S42.101D|Fractura de parte no especificada de escápula del hombro derecho, contacto sucesivo por fractura con curas rutinarias
