nombre_diagnostico|nombre_diagnostico_psiquiatrico
Dependencia de otras máquinas y dispositivos de apoyo|Esquizofrenia
Obesidad, no especificada|Esquizofrenia
Insuficiencia respiratoria no especificada, con hipercapnia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Anemia ferropénica, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Somnolencia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Insuficiencia cardiaca diastólica (congestiva), no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Diabetes mellitus tipo 2 sin complicaciones|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad pulmonar obstructiva crónica, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Apnea obstructiva del sueño (del adulto) (pediátrica)|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Dependencia de otras máquinas y dispositivos de apoyo|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hernia diafragmática sin obstrucción ni gangrena|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hemorroides no especificadas|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros tipos de trastornos específicos de personalidad|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad cardíaca hipertensiva con insuficiencia cardiaca|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Presencia de válvula cardiaca protésica|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Esquizofrenia desorganizada|Esquizofrenia
Trastorno esquizoafectivo, no especificado|Trastornos esquizoafectivos
Problemas relacionados con vivir solo|Trastornos esquizoafectivos
Incumplimiento del paciente con otro tratamiento y régimen médico|Trastornos esquizoafectivos
Esquizofrenia paranoide|Esquizofrenia
Alergia a otros alimentos|Esquizofrenia
Fractura no especificada de extremo inferior de radio no especificado, contacto inicial por fractura cerrada|Esquizofrenia
Caída no especificada, contacto inicial|Esquizofrenia
Lugar no especificado en otra institución residencial especificada como lugar del acontecimiento de la causa externa|Esquizofrenia
Incumplimiento del paciente con otro tratamiento y régimen médico|Trastornos delirantes
Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad|Trastornos delirantes
Carcinoma intraductal in situ de mama izquierda|Trastornos delirantes
Dependencia de nicotina, cigarrillos, sin complicaciones|Trastornos delirantes
Historia familiar de neoplasia maligna de mama|Trastornos delirantes
Trastorno de somatización|Trastornos delirantes
Trastorno distímico|Trastornos delirantes
Trastorno neurocognitivo por cuerpos de Lewy|Esquizofrenia
Demencia en otras enfermedades clasificadas bajo otro concepto, gravedad no especificada, con alteración del comportamiento|Esquizofrenia
Delirio debido a afección fisiológica conocida|Esquizofrenia
Otra enfermedad cerebrovascular|Esquizofrenia
Infección de tracto urinario, localización no especificada|Esquizofrenia
Diabetes mellitus tipo 2 sin complicaciones|Esquizofrenia
Uso prolongado (actual) de medicamentos hipoglucemiantes orales|Esquizofrenia
Historia personal de ataque isquémico transitorio (AIT) e infarto cerebral sin déficits residuales|Esquizofrenia
Historia personal de dependencia a nicotina|Esquizofrenia
Problemas relacionados con la vida en una institución residencial|Esquizofrenia
Úlcera duodenal crónica o no especificada con perforación|Esquizofrenia
Lesión cerebral anóxica, no clasificada bajo otro concepto|Esquizofrenia
Sepsis, microorganismo no especificado|Esquizofrenia
Peritonitis, no especificada|Esquizofrenia
Sepsis grave con shock séptico|Esquizofrenia
Absceso periapical sin sinus|Esquizofrenia
Infección después de otra perfusión, transfusión e inyección terapéutica, contacto inicial|Esquizofrenia
Otros estafilococos como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Otros procedimientos médicos como causa de reacción anormal del paciente o de complicación posterior, sin mención de evento adverso en el momento del procedimiento|Esquizofrenia
Otros trastornos especificados de vejiga|Esquizofrenia
Endoftalmitis purulenta no especificada, ojo no especificado |Esquizofrenia
Trastorno depresivo mayor, episodio único, no especificado|Trastornos delirantes
Hipertensión esencial (primaria)|Trastornos delirantes
Incumplimiento del paciente con otro tratamiento y régimen médico|Esquizofrenia
Hiperprolactinemia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Atelectasia|Esquizofrenia
Insuficiencia respiratoria aguda no especificada si con hipoxia o con hipercapnia|Esquizofrenia
Dependencia de nicotina, cigarrillos, sin complicaciones|Esquizofrenia
Dependencia de alcohol, sin complicaciones|Esquizofrenia
Historia familiar de otros trastornos mentales y del comportamiento|Trastornos delirantes
Dependencia de opiáceos, en remisión|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Ruptura familiar por separación y divorcio|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Dependencia de alcohol con abstinencia, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de personalidad, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Incumplimiento del paciente con otro tratamiento y régimen médico|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Fractura no especificada de extremo inferior de tibia derecha, contacto inicial por fractura cerrada|Esquizofrenia
Otra fractura de extremos superior e inferior de peroné derecho, contacto inicial por fractura cerrada|Esquizofrenia
Caída en el mismo nivel, no especificada, contacto inicial|Esquizofrenia
Esquizofrenia catatónica|Esquizofrenia
Coma no especificado|Esquizofrenia
Kwashiorkor|Esquizofrenia
Paro cardiaco, causa no especificada|Esquizofrenia
Trastorno de personalidad y del comportamiento no especificado debidos a afección fisiológica conocida|Trastornos delirantes
Dependencia de cannabis, en remisión|Trastornos delirantes
Presencia de dispositivo anticonceptivo (intrauterino)|Trastornos delirantes
Hernia inguinal unilateral, sin obstrucción ni gangrena, no especificada como recidivada|Esquizofrenia
Dependencia de cannabis, en remisión|Esquizofrenia
Dependencia de opiáceos, en remisión|Esquizofrenia
Historia personal de neoplasia maligna de hígado|Esquizofrenia
Trastorno esquizoide de personalidad|Esquizofrenia
Esquizofrenia indiferenciada|Esquizofrenia
Cuerpo extraño no especificado en vías respiratorias, parte no especificada, que produce otras lesiones, contacto inicial|Trastornos delirantes
Insuficiencia respiratoria no especificada, sin especificar si con hipoxia o con hipercapnia|Trastornos delirantes
Melena|Trastornos delirantes
Diabetes mellitus tipo 2 con hiperglucemia|Esquizofrenia
Convulsiones no especificadas|Esquizofrenia
Trastorno metabólico, no especificado|Esquizofrenia
Diabetes mellitus tipo 2 con nefropatía diabética|Esquizofrenia
Estado de alergia a penicilina|Esquizofrenia
Estado de alergia a otros antibióticos|Esquizofrenia
Estado de alergia a otros fármacos, medicamentos y sustancias biológicas|Esquizofrenia
Abuso de cocaína, sin complicaciones|Trastornos esquizoafectivos
Abuso de cannabis, sin complicaciones|Trastornos esquizoafectivos
Abuso de opiáceos, sin complicaciones|Trastornos esquizoafectivos
Otros tipos de trastornos específicos de personalidad|Trastornos esquizoafectivos
Estado de alergia a analgésico|Trastornos esquizoafectivos
Hepatitis vírica C no especificada, sin coma hepático|Trastornos esquizoafectivos
Hepatitis vírica crónica tipo B, sin agente delta|Trastornos esquizoafectivos
Dependencia de cocaína, sin complicaciones|Trastornos esquizoafectivos
Dependencia de cannabis, sin complicaciones|Trastornos esquizoafectivos
Broncoespasmo agudo|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hiperlipidemia, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros trastornos de válvula aórtica no reumáticos|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Demencia no especificada, gravedad no especificada, sin alteración del comportamiento, alteración psicótica, alteración del estado de ánimo ni ansiedad|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Edema generalizado|Trastornos esquizoafectivos
Desorientación, no especificada|Trastornos esquizoafectivos
Hiposmolaridad e hiponatremia|Trastornos esquizoafectivos
Efecto adverso de iminostilbenos, contacto inicial|Trastornos esquizoafectivos
Parkinsonismo secundario inducido por otros fármacos|Trastornos esquizoafectivos
Efecto adverso de otros antipsicóticos y neurolépticos, contacto inicial|Trastornos esquizoafectivos
Historia familiar de otros trastornos mentales y del comportamiento|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Estado de alergia a sulfonamidas|Esquizofrenia
Abuso de cocaína con trastorno psicótico, inducido por cocaína con alucinaciones|Esquizofrenia
Abuso de cannabis, sin complicaciones|Esquizofrenia
Crisis hipertensiva, no especificada|Trastornos esquizoafectivos
Hipertensión esencial (primaria)|Trastornos esquizoafectivos
Contusión de tórax, no especificada, contacto inicial|Trastornos esquizoafectivos
Exposición a otros factores especificados, contacto inicial|Trastornos esquizoafectivos
Apnea obstructiva del sueño (del adulto) (pediátrica)|Trastornos esquizoafectivos
Enfermedad pulmonar obstructiva crónica, no especificada|Trastornos esquizoafectivos
Dependencia de nicotina, cigarrillos, sin complicaciones|Trastornos esquizoafectivos
Obesidad, no especificada|Trastornos esquizoafectivos
Enfermedad pulmonar obstructiva crónica con infección (aguda) de las vías respiratorias inferiores|Trastornos esquizoafectivos
Linfoma de células B extraganglionar de zona marginal de tejido linfoide asociado a mucosas [linfoma MALT]|Trastorno psicótico breve
Historia personal de quimioterapia antineoplásica|Trastorno psicótico breve
Compresión del cerebro|Trastorno psicótico breve
Convulsiones no especificadas|Trastorno psicótico breve
Sobrecarga de líquidos, no especificada|Trastorno psicótico breve
Efecto adverso de glucocorticoides y análogos sintéticos, contacto inicial|Trastorno psicótico breve
Marasmo nutricional|Trastorno psicótico breve
Apendicitis aguda con peritonitis localizada|Esquizofrenia
Trastorno depresivo mayor, episodio único, no especificado|Esquizofrenia
Ideaciones suicidas|Esquizofrenia
Consumo de tabaco|Trastornos esquizoafectivos
Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad|Trastornos esquizoafectivos
Discapacidad intelectual moderada|Trastornos esquizoafectivos
Historia familiar de otros trastornos mentales y del comportamiento|Trastorno psicótico breve
Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad|Trastorno psicótico breve
Neoplasia benigna de hipófisis|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Glaucoma no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Glaucoma no especificado|Trastornos esquizoafectivos
Historia familiar de otros trastornos mentales y del comportamiento|Trastornos esquizoafectivos
Síndrome de desgarro-hemorragia gastroesofágico|Esquizofrenia
Esofagitis, no especificada|Esquizofrenia
Cálculo de vesícula biliar con colecistitis aguda sin obstrucción|Esquizofrenia
Efecto adverso de fármacos, medicamentos y sustancias biológicas no especificados, contacto inicial|Esquizofrenia
Bronquitis aguda, no especificada|Esquizofrenia
Efecto adverso de antipsicóticos y neurolépticos no especificados, contacto inicial|Esquizofrenia
Hipercolesterolemia pura, no especificada|Esquizofrenia
Otras secuelas de infarto cerebral|Esquizofrenia
Estrabismo paralítico no especificado|Esquizofrenia
Hipersomnia, no especificada|Esquizofrenia
Dependencia de alcohol, en remisión|Esquizofrenia
Uso prolongado (actual) de aspirina|Esquizofrenia
Fallo renal agudo, no especificado|Esquizofrenia
Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada|Esquizofrenia
Enfermedad renal crónica, no especificada|Esquizofrenia
Ausencia adquirida de otras partes especificadas del tracto digestivo|Esquizofrenia
Envenenamiento por antipsicóticos y neurolépticos no especificados, autolesión intencionada, contacto inicial|Esquizofrenia
Problemas relacionados con vivir solo|Esquizofrenia
Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad|Esquizofrenia
Consumo de tabaco|Esquizofrenia
Enfermedad pulmonar obstructiva crónica con infección (aguda) de las vías respiratorias inferiores|Esquizofrenia
Enfermedad pulmonar obstructiva crónica con exacerbación (aguda)|Esquizofrenia
Insuficiencia respiratoria aguda y crónica no especificada si con hipoxia o con hipercapnia|Esquizofrenia
Insuficiencia respiratoria crónica con hipoxia|Trastornos esquizoafectivos
Dependencia de oxígeno suplementario|Trastornos esquizoafectivos
Otros trastornos respiratorios especificados|Trastornos esquizoafectivos
Acidosis|Trastornos esquizoafectivos
Coma no especificado|Trastornos esquizoafectivos
Efecto adverso de fármacos, medicamentos y sustancias biológicas no especificados, contacto inicial|Trastornos esquizoafectivos
Asma no especificada, sin complicaciones|Trastornos esquizoafectivos
Uso prolongado (actual) de esteroides sistémicos|Trastornos esquizoafectivos
Ausencia adquirida de ambos, de cuello uterino y de útero|Trastornos esquizoafectivos
Neumonía, microorganismo no especificado|Esquizofrenia
Afección nosocomial|Esquizofrenia
Insuficiencia respiratoria no especificada, con hipoxia|Esquizofrenia
Abuso de alcohol, sin complicaciones|Trastornos esquizoafectivos
Hiperlipidemia, no especificada|Trastornos esquizoafectivos
Fractura no especificada de calcáneo izquierdo, contacto inicial por fractura cerrada|Esquizofrenia
Fractura desplazada de cuarto metatarsiano del pie derecho, contacto inicial por fractura cerrada|Esquizofrenia
Caída desde, fuera de o por otro edificio o estructura, contacto inicial|Esquizofrenia
Inquietud y agitación|Esquizofrenia
Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Neoplasia maligna de endometrio|Esquizofrenia
Hiposmolaridad e hiponatremia|Esquizofrenia
Anemia ferropénica secundaria a pérdida de sangre (crónica)|Esquizofrenia
Otros trastornos especificados de riñón y uréter|Esquizofrenia
Abuso de cannabis, sin complicaciones|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Neoplasia de comportamiento incierto de intestino delgado|Esquizofrenia
Insuficiencia pulmonar aguda después de cirugía no torácica|Esquizofrenia
Neumotórax posprocedimiento|Esquizofrenia
Historia personal de autolesión|Esquizofrenia
Neoplasia maligna de colon, no especificada|Esquizofrenia
Apendicitis aguda no especificada|Esquizofrenia
Trastorno de personalidad, no especificado|Esquizofrenia
Abuso de cocaína, sin complicaciones|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Dependencia de cocaína, sin complicaciones|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfisema, no especificado|Trastornos delirantes
Bocio no tóxico, no especificado|Trastornos delirantes
Hepatitis vírica B no especificada, sin coma hepático|Trastornos delirantes
Abuso de opiáceos, sin complicaciones|Trastornos delirantes
Abuso de cannabis, sin complicaciones|Trastornos delirantes
Dependencia de nicotina no especificada, sin complicaciones|Trastornos delirantes
Ruptura familiar por separación y divorcio|Esquizofrenia
Neoplasia maligna de colon ascendente|Trastornos delirantes
Neoplasia maligna secundaria de retroperitoneo y peritoneo|Trastornos delirantes
Neoplasia maligna secundaria y no especificada de ganglios linfáticos intraabdominales|Trastornos delirantes
Miocardiopatía dilatada|Trastornos delirantes
Enfermedad isquémica crónica cardiaca, no especificada|Trastornos delirantes
Afectación sistémica de tejido conectivo, no especificada|Trastornos delirantes
Historia personal de otra neoplasia maligna de bronquios y pulmón|Trastornos delirantes
Ausencia adquirida (de parte) del pulmón|Trastornos delirantes
Dependencia de oxígeno suplementario|Trastornos delirantes
Esquizofrenia residual|Esquizofrenia
Neoplasia benigna de ovario izquierdo|Esquizofrenia
Hipergliceridemia pura|Trastornos esquizoafectivos
Hipotiroidismo, no especificado|Trastornos esquizoafectivos
Hiperprolactinemia|Trastornos esquizoafectivos
Efecto adverso de antipsicóticos y neurolépticos no especificados, contacto inicial|Trastornos esquizoafectivos
Caries dental, no especificada|Esquizofrenia
Infección de tracto urinario, localización no especificada|Otros tipos de esquizofrenia
Anemia ferropénica, no especificada|Otros tipos de esquizofrenia
Neoplasia benigna de meninges cerebrales|Otros tipos de esquizofrenia
Aneurisma cerebral, no roto|Otros tipos de esquizofrenia
Otros tipos de hiperlipidemia|Otros tipos de esquizofrenia
Cálculo de vesícula biliar sin colecistitis sin obstrucción|Otros tipos de esquizofrenia
Ausencia adquirida de ambos, de cuello uterino y de útero|Otros tipos de esquizofrenia
Presencia de articulación de rodilla artificial, no especificada|Otros tipos de esquizofrenia
Neoplasia maligna de glotis|Esquizofrenia
Úlcera por presión en talón derecho, estadio no especificado|Esquizofrenia
Úlcera por presión en talón izquierdo, estadio no especificado|Esquizofrenia
Úlcera crónica no debida a presión de otra parte de pie derecho, de gravedad no especificada|Esquizofrenia
Infección por Staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Ausencia adquirida del dedo gordo de pie no especificado|Esquizofrenia
Uso prolongado (actual) de insulina|Esquizofrenia
Neoplasia maligna de recto|Esquizofrenia
Historia personal de irradiación|Esquizofrenia
Enfermedad de von Willebrand|Esquizofrenia
Prolapso (de la válvula) mitral no reumático|Esquizofrenia
Otras formas de escoliosis, región dorsolumbar|Esquizofrenia
Hernia diafragmática sin obstrucción ni gangrena|Esquizofrenia
Contacto para cuidados de ileostomía|Esquizofrenia
Historia personal de otra neoplasia maligna recto, unión rectosigmoidea y ano|Esquizofrenia
Gastroenteritis y colitis no infecciosas, no especificadas|Esquizofrenia
Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Hiperplasia prostática benigna sin síntomas de tracto urinario inferior|Esquizofrenia
Trastornos vasculares agudos de intestino|Esquizofrenia
Hemorragia gastrointestinal, no especificada|Esquizofrenia
Abuso de alcohol, sin complicaciones|Esquizofrenia
Infarto de miocardio antiguo|Esquizofrenia
Presencia de angioplastia, injertos y prótesis coronarios|Esquizofrenia
Uso prolongado (actual) de antitrombóticos / antiplaquetarios|Esquizofrenia
Insuficiencia respiratoria aguda y crónica con hipoxia|Esquizofrenia
Efecto tóxico de alcohol no especificado, accidental (no intencionado), contacto inicial|Esquizofrenia
Envenenamiento por benzodiacepinas, accidental (no intencionado), contacto inicial|Esquizofrenia
Estado de infección asintomática por virus de inmunodeficiencia humana [VIH]|Esquizofrenia
Cirrosis alcohólica de hígado sin ascitis|Esquizofrenia
Hepatitis vírica C no especificada, sin coma hepático|Esquizofrenia
Hepatitis vírica crónica tipo B, sin agente delta|Esquizofrenia
Neoplasia maligna de endometrio|Trastornos delirantes
Diabetes mellitus tipo 2 sin complicaciones|Trastornos delirantes
Hipotiroidismo, no especificado|Trastornos delirantes
Trastorno extrapiramidal y del movimiento, no especificado|Trastornos delirantes
Efecto adverso de otros parasimpaticolíticos [anticolinérgicos y antimuscarínicos] y espasmolíticos, contacto inicial|Trastornos delirantes
Infección aguda del tracto respiratorio inferior, no especificada|Esquizofrenia
Estado de alergia a analgésico|Esquizofrenia
Historia personal de otro tipo de neoplasia benigna|Esquizofrenia
Enfermedad pulmonar obstructiva crónica, no especificada|Esquizofrenia
Necesidad de supervisión continua|Esquizofrenia
Sobrecarga de líquidos, no especificada|Esquizofrenia
Historia personal de pólipos colónicos|Esquizofrenia
Dependencia de nicotina, cigarrillos, sin complicaciones|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Problemas relacionados con vivir solo|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Deterioro cognitivo leve de etiología incierta o desconocida|Esquizofrenia
Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 5 o con enfermedad renal en estadio terminal|Esquizofrenia
Enfermedad renal crónica, estadio fase 5|Esquizofrenia
Dependencia de diálisis renal|Esquizofrenia
Coagulación intravascular diseminada [síndrome de desfibrinación]|Esquizofrenia
Infección de tracto urinario, localización no especificada|Trastornos delirantes
Trastorno mental no especificado debido a afección fisiológica conocida|Trastornos delirantes
Diabetes mellitus tipo 2 con nefropatía diabética crónica|Trastornos delirantes
Uso prolongado (actual) de medicamentos hipoglucemiantes orales|Trastornos delirantes
Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada|Trastornos delirantes
Enfermedad renal crónica, estadio 3 (moderada)|Trastornos delirantes
Venas varicosas de extremidad inferior no especificada con inflamación|Trastornos delirantes
Hemiplejia y hemiparesia tras infarto cerebral con afectación de lado derecho dominante|Trastornos delirantes
Disartria tras infarto cerebral|Trastornos delirantes
Necesidad de supervisión continua|Trastornos delirantes
Presencia de articulación de cadera artificial, bilateral|Trastornos delirantes
Otro desplazamiento de disco cervical a nivel de C6-C7|Esquizofrenia
Obesidad mórbida (severa) por exceso de calorías|Esquizofrenia
Disartria tras infarto cerebral|Esquizofrenia
Diabetes mellitus tipo 1 sin complicaciones|Esquizofrenia
Esclerosis múltiple|Esquizofrenia
Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto|Trastornos delirantes
Epilepsia, no especificada, no intratable, sin estado de mal epiléptico|Trastornos delirantes
Otros trastornos especificados de córnea, ojo no especificado |Trastornos delirantes
Enfermedad cardiaca y renal crónica hipertensiva sin insuficiencia cardiaca, con enfermedad renal crónica en estadio 1 a 4 o enfermedad renal crónica no especificada|Trastornos delirantes
Enfermedad renal crónica, no especificada|Trastornos delirantes
Enfermedad de Parkinson|Trastornos delirantes
Insuficiencia respiratoria crónica con hipercapnia|Trastornos delirantes
Apnea obstructiva del sueño (del adulto) (pediátrica)|Trastornos delirantes
Obesidad, no especificada|Trastornos delirantes
Hernia diafragmática sin obstrucción ni gangrena|Trastornos delirantes
Problemas relacionados con la vida en una institución residencial|Trastornos delirantes
Historia personal de ataque isquémico transitorio (AIT) e infarto cerebral sin déficits residuales|Trastornos delirantes
Trastorno de personalidad paranoide|Trastornos delirantes
Estenosis mitral reumática con insuficiencia |Trastornos delirantes
Uso prolongado (actual) de anticoagulantes|Trastornos delirantes
Ruptura familiar por separación y divorcio|Trastornos delirantes
Problemas relacionados con vivir solo|Trastornos delirantes
Lesión de nervio cubital, extremidad superior izquierda|Esquizofrenia
Sordomudez, no clasificada bajo otro concepto|Esquizofrenia
Trastorno disociativo y de conversión, no especificado|Trastornos delirantes
Aterosclerosis cerebral|Trastornos delirantes
Aneurisma cerebral, no roto|Esquizofrenia
Epilepsia, no especificada, no intratable, sin estado de mal epiléptico|Esquizofrenia
Encefalopatía, no especificada|Esquizofrenia
Puntuación 3-8 de la escala de coma de Glasgow, 24 horas o más después del ingreso hospitalario|Esquizofrenia
Polimialgia reumática|Esquizofrenia
Neumonitis debida a inhalación de alimentos y vómito|Esquizofrenia
Contenido gástrico en vías respiratorias, parte no especificada, que produce otras lesiones, contacto inicial|Esquizofrenia
Hemorragia subaracnoidea no traumática de arteria cerebral media izquierda|Esquizofrenia
Historia personal de tuberculosis|Esquizofrenia
Neoplasia maligna de cabeza de páncreas|Esquizofrenia
Obstrucción de conducto biliar|Esquizofrenia
Trastorno límite de personalidad|Trastornos esquizoafectivos
Anemia ferropénica, no especificada|Trastornos esquizoafectivos
Diabetes mellitus tipo 2 sin complicaciones|Trastornos esquizoafectivos
Estado de alergia a penicilina|Trastornos esquizoafectivos
Problemas relacionados con la vida en una institución residencial|Trastornos esquizoafectivos
Diabetes mellitus tipo 2 con otras complicaciones oftálmicas diabéticas|Trastornos esquizoafectivos
Dependencia de nicotina no especificada, sin complicaciones|Trastornos esquizoafectivos
Ausencia adquirida de otras partes especificadas del tracto digestivo|Trastornos esquizoafectivos
Uso prolongado (actual) de medicamentos hipoglucemiantes orales|Trastornos esquizoafectivos
Encefalopatía tóxica|Esquizofrenia
Trastorno mental no especificado debido a afección fisiológica conocida|Esquizofrenia
Efecto adverso de fármacos, medicamentos y sustancias biológicas no especificados, secuela|Esquizofrenia
Otros tipos de disfagia|Esquizofrenia
Neumonía debida a Staphylococcus aureus sensible a meticilina|Esquizofrenia
Marasmo nutricional|Esquizofrenia
Trastorno obsesivo-compulsivo, no especificado|Esquizofrenia
Alimento en tráquea que produce asfixia, contacto inicial|Esquizofrenia
Dependencia de cannabis, sin complicaciones|Esquizofrenia
Consumo de otro estimulante no especificado sin complicaciones|Esquizofrenia
Consumo de cocaína no especificado sin complicaciones|Esquizofrenia
Otros problemas relacionados con la vivienda y circunstancias económicas|Esquizofrenia
Historia familiar de otros trastornos mentales y del comportamiento|Esquizofrenia
Historia familiar de abuso y dependencia a otras sustancias psicoactivas|Esquizofrenia
Otros problemas relacionados con el empleo|Esquizofrenia
Problema relacionado con el grupo de apoyo primario, no especificado|Esquizofrenia
Fractura desplazada de pilón tibial de tibia izquierda, contacto inicial por fractura cerrada|Esquizofrenia
Fractura no especificada de sacro, contacto inicial por fractura cerrada|Esquizofrenia
Fractura no especificada de ilion izquierdo, contacto inicial por fractura cerrada|Esquizofrenia
Contusión de otros órganos intraabdominales, contacto inicial|Esquizofrenia
Neoplasia maligna de pezón y areola, mama femenina izquierda|Esquizofrenia
Neoplasia maligna secundaria y no especificada de ganglios linfáticos de axila y extremidad superior|Esquizofrenia
Historia personal de otras enfermedades infecciosas y parasitarias|Esquizofrenia
Estado de alergia a otras sustancias no medicinales|Esquizofrenia
