source|target
Estomatitis candidiásica|Trastornos delirantes
Estomatitis candidiásica|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Balanitis por cándidas|Otros tipos de esquizofrenia
Otra candidiasis urogenital|Trastornos delirantes
Otra candidiasis urogenital|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Esofagitis por cándidas|Otros tipos de esquizofrenia
Equinococosis del hígado, no especificada|Otros tipos de esquizofrenia
Secuelas de tuberculosis respiratoria y de tuberculosis no especificada|Otros tipos de esquizofrenia
Secuelas de poliomielitis|Esquizofrenia
Secuelas de otras enfermedades infecciosas y parasitarias especificadas|Otros tipos de esquizofrenia
Secuelas de otras enfermedades infecciosas y parasitarias especificadas|Trastorno psicótico breve
Estreptococo, grupo B, como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Enterococos como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Enterococos como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Streptococcus pneumoniae como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Streptococcus pneumoniae como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Otros estreptococos como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Otros estreptococos como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Otros estreptococos como causa de enfermedades clasificadas bajo otro concepto|Trastornos delirantes
Otros estreptococos como causa de enfermedades clasificadas bajo otro concepto|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Infección por Staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Infección por Staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Infección por Staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto|Trastorno esquizotípico
Infección por Staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto|Trastornos delirantes
Infección por Staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto|Trastorno esquizoide de personalidad
Infección por Staphylococcus aureus resistente a meticilina como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Infección por Staphylococcus aureus resistente a meticilina como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Infección por Staphylococcus aureus resistente a meticilina como causa de enfermedades clasificadas bajo otro concepto|Trastornos delirantes
Infección por Staphylococcus aureus resistente a meticilina como causa de enfermedades clasificadas bajo otro concepto|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros estafilococos como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Otros estafilococos como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Otros estafilococos como causa de enfermedades clasificadas bajo otro concepto|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Klebsiella pneumoniae [K. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Klebsiella pneumoniae [K. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Klebsiella pneumoniae [K. pneumoniae] como causa de enfermedades clasificadas bajo otro concepto|Trastornos delirantes
Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto|Trastornos delirantes
Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto|Trastornos esquizoafectivos
Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Escherichia coli [E. coli] [STEC] O157 productor de toxina Shiga como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Escherichia coli [E. coli] [STEC] O157 productor de toxina Shiga como causa de enfermedades clasificadas bajo otro concepto|Trastornos delirantes
Haemophilus influenzae [H. influenzae] como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Proteus (mirabilis) (morganii) como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Proteus (mirabilis) (morganii) como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Pseudomonas (aeruginosa) (mallei) (pseudomallei) como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Pseudomonas (aeruginosa) (mallei) (pseudomallei) como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Helicobacter pylori [H. pylori] como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto|Trastornos delirantes
Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Adenovirus como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Papilomavirus como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Otros agentes virales como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Otras enfermedades infecciosas|Trastornos delirantes
Neoplasia maligna de hipofaringe, no especificada|Esquizofrenia
Neoplasia maligna de antro pilórico|Otros tipos de esquizofrenia
Neoplasia maligna de ciego|Otros tipos de esquizofrenia
Neoplasia maligna de ciego|Trastornos delirantes
Neoplasia maligna de colon ascendente|Trastornos delirantes
Neoplasia maligna de ángulo hepático|Otros tipos de esquizofrenia
Neoplasia maligna de ángulo esplénico|Otros tipos de esquizofrenia
Neoplasia maligna de colon sigmoide|Esquizofrenia
Neoplasia maligna de colon sigmoide|Otros tipos de esquizofrenia
Neoplasia maligna de colon sigmoide|Trastornos esquizoafectivos
Neoplasia maligna de colon, no especificada|Esquizofrenia
Neoplasia maligna de colon, no especificada|Otros tipos de esquizofrenia
Neoplasia maligna de recto|Esquizofrenia
Neoplasia maligna de recto|Otros tipos de esquizofrenia
Carcinoma de células hepáticas|Esquizofrenia
Carcinoma de células hepáticas|Otros tipos de esquizofrenia
Carcinoma de conducto biliar intrahepático|Otros tipos de esquizofrenia
Neoplasia maligna de cabeza de páncreas|Esquizofrenia
Neoplasia maligna de páncreas, no especificada|Trastornos esquizoafectivos
Neoplasia maligna de glotis|Esquizofrenia
Neoplasia maligna de bronquio principal derecho|Esquizofrenia
Neoplasia maligna de lóbulo superior, bronquio y pulmón no especificados|Otros tipos de esquizofrenia
Neoplasia maligna de lóbulo superior, bronquio y pulmón no especificados|Trastorno psicótico breve
Neoplasia maligna de lóbulo superior, bronquio o pulmón derecho|Trastorno esquizotípico
Neoplasia maligna de lóbulo superior, bronquio o pulmón izquierdo|Esquizofrenia
Neoplasia maligna de lóbulo superior, bronquio o pulmón izquierdo|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Neoplasia maligna de lóbulo medio, bronquio o pulmón |Otros tipos de esquizofrenia
Neoplasia maligna de lóbulo inferior, bronquio o pulmón no especificados|Otros tipos de esquizofrenia
Neoplasia maligna de lóbulo inferior, bronquio o pulmón derecho|Esquizofrenia
Neoplasia maligna de lóbulo inferior, bronquio o pulmón izquierdo|Esquizofrenia
Neoplasia maligna de localizaciones contiguas de bronquio y pulmón no especificados|Otros tipos de esquizofrenia
Neoplasia maligna de parte no especificada, bronquio o pulmón no especificados|Otros tipos de esquizofrenia
Melanoma maligno de extremidad superior no especificada, incluyendo hombro|Otros tipos de esquizofrenia
Neoplasia maligna no especificada de piel de parte no especificada de la cara|Otros tipos de esquizofrenia
Carcinoma basocelular de piel de parte no especificada de la cara|Otros tipos de esquizofrenia
Neoplasia maligna no especificada de piel de extremidad superior no especificada, incluyendo hombro|Otros tipos de esquizofrenia
Neoplasia maligna no especificada de localizaciones contiguas de piel|Otros tipos de esquizofrenia
Neoplasia maligna de pezón y areola, mama femenina izquierda|Esquizofrenia
Neoplasia maligna de cuadrante inferior interno de mama femenina izquierda|Esquizofrenia
Neoplasia maligna de cuadrante inferior interno de mama femenina, lado no especificado|Otros tipos de esquizofrenia
Neoplasia maligna de cuadrante superior externo de mama femenina, lado no especificado|Otros tipos de esquizofrenia
Neoplasia maligna de cuadrante inferior externo de mama femenina derecha|Trastornos delirantes
Neoplasia maligna de localizaciones contiguas de mama femenina derecha|Trastornos delirantes
Neoplasia maligna de localizaciones contiguas de mama femenina, lado no especificado|Otros tipos de esquizofrenia
Neoplasia maligna de localización no especificada de mama femenina derecha|Trastornos delirantes
Neoplasia maligna de localización no especificada de mama femenina izquierda|Esquizofrenia
Neoplasia maligna de endometrio|Esquizofrenia
Neoplasia maligna de endometrio|Trastornos delirantes
Neoplasia maligna de endometrio|Trastorno psicótico breve
Neoplasia maligna de ovario no especificado|Otros tipos de esquizofrenia
Neoplasia maligna de próstata|Esquizofrenia
Neoplasia maligna de próstata|Otros tipos de esquizofrenia
Neoplasia maligna de próstata|Trastornos delirantes
Neoplasia maligna de riñón izquierdo, excepto pelvis renal|Esquizofrenia
Neoplasia maligna de trígono de vejiga|Otros tipos de esquizofrenia
Neoplasia maligna de localizaciones contiguas de vejiga|Otros tipos de esquizofrenia
Neoplasia maligna de vejiga, no especificada|Esquizofrenia
Neoplasia maligna de vejiga, no especificada|Otros tipos de esquizofrenia
Neoplasia maligna de cerebro, no especificada|Otros tipos de esquizofrenia
Neoplasia maligna de glándula tiroides|Otros tipos de esquizofrenia
Neoplasia maligna secundaria y no especificada de ganglios linfáticos de cabeza, cara y cuello|Esquizofrenia
Neoplasia maligna secundaria y no especificada de ganglios linfáticos intratorácicos|Otros tipos de esquizofrenia
Neoplasia maligna secundaria y no especificada de ganglios linfáticos intratorácicos|Trastorno psicótico breve
Neoplasia maligna secundaria y no especificada de ganglios linfáticos intraabdominales|Esquizofrenia
Neoplasia maligna secundaria y no especificada de ganglios linfáticos intraabdominales|Otros tipos de esquizofrenia
Neoplasia maligna secundaria y no especificada de ganglios linfáticos intraabdominales|Trastornos delirantes
Neoplasia maligna secundaria y no especificada de ganglios linfáticos de axila y extremidad superior|Esquizofrenia
Neoplasia maligna secundaria y no especificada de ganglios linfáticos de axila y extremidad superior|Otros tipos de esquizofrenia
Neoplasia maligna secundaria y no especificada de ganglios linfáticos de regiones múltiples|Esquizofrenia
Neoplasia maligna secundaria y no especificada de ganglios linfáticos de regiones múltiples|Otros tipos de esquizofrenia
Neoplasia maligna secundaria y no especificada de ganglios linfáticos de regiones múltiples|Trastornos delirantes
Neoplasia maligna secundaria de pulmón no especificado|Esquizofrenia
Neoplasia maligna secundaria de pulmón no especificado|Otros tipos de esquizofrenia
Neoplasia maligna secundaria de pulmón no especificado|Trastornos esquizoafectivos
Neoplasia maligna secundaria de pulmón derecho|Esquizofrenia
Neoplasia maligna secundaria de pleura|Otros tipos de esquizofrenia
Neoplasia maligna secundaria de intestino grueso y recto|Otros tipos de esquizofrenia
Neoplasia maligna secundaria de retroperitoneo y peritoneo|Esquizofrenia
Neoplasia maligna secundaria de retroperitoneo y peritoneo|Otros tipos de esquizofrenia
Neoplasia maligna secundaria de retroperitoneo y peritoneo|Trastornos delirantes
Neoplasia maligna secundaria de retroperitoneo y peritoneo|Trastornos esquizoafectivos
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas|Esquizofrenia
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas|Otros tipos de esquizofrenia
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas|Trastornos delirantes
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas|Trastornos esquizoafectivos
Neoplasia maligna secundaria de cerebro|Esquizofrenia
Neoplasia maligna secundaria de cerebro|Otros tipos de esquizofrenia
Neoplasia maligna secundaria de cerebro|Trastornos delirantes
Neoplasia maligna secundaria de hueso|Esquizofrenia
Neoplasia maligna secundaria de hueso|Otros tipos de esquizofrenia
Neoplasia maligna secundaria de hueso|Trastornos delirantes
Neoplasia maligna secundaria de hueso|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Neoplasia maligna secundaria de glándula suprarrenal no especificada|Otros tipos de esquizofrenia
Neoplasia maligna secundaria de glándula suprarrenal no especificada|Trastornos delirantes
Neoplasia maligna secundaria de glándula suprarrenal derecha|Esquizofrenia
Neoplasia maligna secundaria de órganos genitales|Otros tipos de esquizofrenia
Neoplasia maligna secundaria de otras localizaciones especificadas|Otros tipos de esquizofrenia
Tumores neuroendocrinos malignos mal diferenciados|Otros tipos de esquizofrenia
Tumores neuroendocrinos malignos mal diferenciados|Trastornos delirantes
Tumores carcinoides secundarios de ganglios linfáticos a distancia|Otros tipos de esquizofrenia
Tumores carcinoides secundarios de hueso|Otros tipos de esquizofrenia
Neoplasia maligna diseminada, no especificada|Trastornos delirantes
Neoplasia maligna (primaria), no especificada|Otros tipos de esquizofrenia
Linfoma difuso de células B grandes, ganglios linfáticos de cabeza, cara y cuello|Esquizofrenia
Linfoma difuso de células B grandes, ganglios linfáticos intraabdominales|Esquizofrenia
Linfoma difuso de células B grandes, ganglios linfáticos de localizaciones múltiples|Esquizofrenia
Linfoma difuso de células B grandes, localizaciones extraganglionares y de órganos sólidos|Esquizofrenia
Linfomas de células T/NK maduras, no especificados, ganglios linfáticos intraabdominales|Otros tipos de esquizofrenia
Otros tipos especificados de linfoma no Hodgkin, localización no especificada|Otros tipos de esquizofrenia
Linfoma de células B extraganglionar de zona marginal de tejido linfoide asociado a mucosas [linfoma MALT]|Trastorno psicótico breve
Mieloma múltiple, sin haber alcanzado remisión|Esquizofrenia
Mieloma múltiple, sin haber alcanzado remisión|Otros tipos de esquizofrenia
Mieloma múltiple, sin haber alcanzado remisión|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Leucemia linfocítica crónica de células B, sin haber alcanzado remisión|Esquizofrenia
Leucemia linfocítica crónica de células B, en remisión|Trastorno psicótico breve
Leucemia mieloblástica aguda, sin haber alcanzado remisión|Esquizofrenia
Leucemia mieloblástica aguda, en remisión|Otros tipos de esquizofrenia
Leucemia aguda promielocítica, sin haber alcanzado remisión|Esquizofrenia
Leucemia, no especificada, sin haber alcanzado la remisión|Esquizofrenia
Histiocitosis de células de Langerhans unifocal|Trastornos delirantes
Carcinoma in situ de colon|Otros tipos de esquizofrenia
Carcinoma intraductal in situ de mama izquierda|Trastornos delirantes
Carcinoma in situ de tipo no especificado de mama no especificada|Otros tipos de esquizofrenia
Neoplasia benigna de glándula salival mayor, no especificada|Otros tipos de esquizofrenia
Neoplasia benigna de ciego|Otros tipos de esquizofrenia
Neoplasia benigna de colon, no especificada|Esquizofrenia
Neoplasia benigna de recto|Esquizofrenia
Neoplasia benigna de estómago|Otros tipos de esquizofrenia
Neoplasia benigna de hígado|Otros tipos de esquizofrenia
Neoplasia benigna de oído medio, cavidad nasal y senos accesorios|Otros tipos de esquizofrenia
Neoplasia benigna de huesos de cráneo y cara|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Neoplasia lipomatosa benigna de piel y tejido subcutáneo de tronco|Otros tipos de esquizofrenia
Neoplasia lipomatosa benigna de piel y tejido subcutáneo de brazo izquierdo|Esquizofrenia
Neoplasia lipomatosa benigna de otros sitios|Otros tipos de esquizofrenia
Hemangioma de estructuras intracraneales|Otros tipos de esquizofrenia
Hemangioma de estructuras intraabdominales|Otros tipos de esquizofrenia
Hemangioma de estructuras intraabdominales|Trastornos delirantes
Hemangioma de estructuras intraabdominales|Trastorno psicótico breve
Hemangioma de otras localizaciones|Otros tipos de esquizofrenia
Neoplasia benigna de tejido conjuntivo y otros tejidos blandos de extremidad inferior no especificada, incluyendo cadera|Otros tipos de esquizofrenia
Otras neoplasias benignas de piel de parte no especificada de la cara|Otros tipos de esquizofrenia
Otras neoplasias benignas de piel de extremidad superior no especificada, incluyendo hombro|Otros tipos de esquizofrenia
Leiomioma submucoso de útero|Trastorno psicótico breve
Leiomioma intramural de útero|Trastorno psicótico breve
Leiomioma de útero, no especificado|Esquizofrenia
Leiomioma de útero, no especificado|Otros tipos de esquizofrenia
Leiomioma de útero, no especificado|Trastornos delirantes
Leiomioma de útero, no especificado|Trastorno psicótico breve
Leiomioma de útero, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Neoplasia benigna de ovario derecho|Esquizofrenia
Neoplasia benigna de ovario izquierdo|Esquizofrenia
Neoplasia benigna de vejiga|Esquizofrenia
Neoplasia benigna de meninges cerebrales|Otros tipos de esquizofrenia
Neoplasia benigna de meninges cerebrales|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Neoplasia benigna de cerebro, supratentorial|Esquizofrenia
Neoplasia benigna de glándula tiroides|Otros tipos de esquizofrenia
Neoplasia benigna de glándula suprarrenal no especificada|Otros tipos de esquizofrenia
Neoplasia benigna de hipófisis|Trastornos delirantes
Neoplasia benigna de hipófisis|Trastorno psicótico breve
Neoplasia benigna de hipófisis|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Neoplasia de comportamiento incierto de estómago|Trastornos delirantes
Neoplasia de comportamiento incierto de estómago|Trastorno esquizoide de personalidad
Neoplasia de comportamiento incierto de intestino delgado|Esquizofrenia
Neoplasia de comportamiento incierto de vejiga|Otros tipos de esquizofrenia
Neoplasia de comportamiento incierto de hipófisis|Otros tipos de esquizofrenia
Síndrome mielodisplásico, no especificado|Trastornos delirantes
Gammapatía monoclonal|Esquizofrenia
Gammapatía monoclonal|Otros tipos de esquizofrenia
Gammapatía monoclonal|Trastornos delirantes
Otros tumores especificados de comportamiento incierto de tejido linfático, hemopoyético y relacionados|Otros tipos de esquizofrenia
Neoplasia de comportamiento no especificado de aparato digestivo|Trastornos delirantes
Anemia ferropénica secundaria a pérdida de sangre (crónica)|Esquizofrenia
Anemia ferropénica secundaria a pérdida de sangre (crónica)|Otros tipos de esquizofrenia
Anemia ferropénica secundaria a pérdida de sangre (crónica)|Trastornos delirantes
Anemia ferropénica, no especificada|Esquizofrenia
Anemia ferropénica, no especificada|Otros tipos de esquizofrenia
Anemia ferropénica, no especificada|Trastornos delirantes
Anemia ferropénica, no especificada|Trastornos esquizoafectivos
Anemia ferropénica, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Anemia por carencia de vitamina B12, no especificada|Esquizofrenia
Anemia por carencia dietética de ácido fólico|Otros tipos de esquizofrenia
Otras anemias megaloblásticas, no clasificadas bajo otro concepto|Esquizofrenia
Anemia nutricional, no especificada|Esquizofrenia
Anemia nutricional, no especificada|Otros tipos de esquizofrenia
Talasemia, no especificada|Esquizofrenia
Talasemia, no especificada|Otros tipos de esquizofrenia
Pancitopenia debida a quimioterapia antineoplásica|Otros tipos de esquizofrenia
Anemia poshemorrágica aguda|Esquizofrenia
Anemia poshemorrágica aguda|Otros tipos de esquizofrenia
Anemia poshemorrágica aguda|Trastornos delirantes
Anemia poshemorrágica aguda|Trastorno esquizoide de personalidad
Anemia en enfermedad neoplásica|Otros tipos de esquizofrenia
Anemia en enfermedad neoplásica|Trastornos delirantes
Anemia en enfermedad renal crónica|Otros tipos de esquizofrenia
Anemia en enfermedad renal crónica|Trastornos delirantes
Anemia en otras enfermedades crónicas clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Anemia, no especificada|Esquizofrenia
Anemia, no especificada|Otros tipos de esquizofrenia
Anemia, no especificada|Trastornos delirantes
Anemia, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Coagulación intravascular diseminada [síndrome de desfibrinación]|Esquizofrenia
Enfermedad de von Willebrand|Esquizofrenia
Hemofilia adquirida|Otros tipos de esquizofrenia
Resistencia a la proteína C activada|Trastornos delirantes
Otras alteraciones especificadas de la coagulación|Otros tipos de esquizofrenia
Defecto de coagulación, no especificado|Esquizofrenia
Púrpura trombocitopénica inmune [PTI]|Esquizofrenia
Púrpura postransfusional|Otros tipos de esquizofrenia
Trombocitopenia no especificada|Esquizofrenia
Trombocitopenia no especificada|Otros tipos de esquizofrenia
Trombocitopenia no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Agranulocitosis secundaria a quimioterapia antineoplásica|Otros tipos de esquizofrenia
Neutropenia, no especificada|Trastornos delirantes
Hiperesplenismo|Otros tipos de esquizofrenia
Policitemia secundaria|Otros tipos de esquizofrenia
Hemorragia intraoperatoria y hematoma del bazo complicando un procedimiento sobre el bazo|Otros tipos de esquizofrenia
Punción y desgarro accidental del bazo durante un procedimiento sobre el bazo|Otros tipos de esquizofrenia
Hipogammaglobulinemia no familiar|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hipergammaglobulinemia, no especificada|Trastornos delirantes
Bocio (endémico) relacionado con carencia de yodo, no especificado|Otros tipos de esquizofrenia
Hipotiroidismo subclínico por carencia de yodo|Esquizofrenia
Hipotiroidismo subclínico por carencia de yodo|Trastornos esquizoafectivos
Hipotiroidismo subclínico por carencia de yodo|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hipotiroidismo debido a medicamentos y otras sustancias exógenas|Esquizofrenia
Hipotiroidismo debido a medicamentos y otras sustancias exógenas|Otros tipos de esquizofrenia
Hipotiroidismo, no especificado|Esquizofrenia
Hipotiroidismo, no especificado|Otros tipos de esquizofrenia
Hipotiroidismo, no especificado|Trastornos delirantes
Hipotiroidismo, no especificado|Trastorno psicótico breve
Hipotiroidismo, no especificado|Trastornos esquizoafectivos
Hipotiroidismo, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Nódulo tiroideo único no tóxico|Trastornos delirantes
Nódulo tiroideo único no tóxico|Trastorno psicótico breve
Bocio multinodular no tóxico|Esquizofrenia
Bocio multinodular no tóxico|Otros tipos de esquizofrenia
Bocio multinodular no tóxico|Trastornos delirantes
Bocio multinodular no tóxico|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Bocio no tóxico, no especificado|Esquizofrenia
Bocio no tóxico, no especificado|Trastornos delirantes
Tirotoxicosis con bocio difuso sin crisis tirotóxica ni tormenta tiroidea|Esquizofrenia
Tirotoxicosis con bocio difuso sin crisis tirotóxica ni tormenta tiroidea|Trastornos delirantes
Tirotoxicosis con bocio multinodular tóxico sin crisis tirotóxica ni tormenta tiroidea|Esquizofrenia
Tirotoxicosis, no especificada sin crisis tirotóxica ni tormenta tiroidea|Esquizofrenia
Tirotoxicosis, no especificada sin crisis tirotóxica ni tormenta tiroidea|Otros tipos de esquizofrenia
Tirotoxicosis, no especificada sin crisis tirotóxica ni tormenta tiroidea|Trastornos delirantes
Tirotoxicosis, no especificada sin crisis tirotóxica ni tormenta tiroidea|Trastorno psicótico breve
Tiroiditis, no especificada|Trastorno psicótico breve
Diabetes mellitus tipo 1 con polineuropatía diabética|Otros tipos de esquizofrenia
Diabetes mellitus tipo 1 con polineuropatía diabética|Trastornos delirantes
Diabetes mellitus tipo 1 con otras artropatías diabéticas|Otros tipos de esquizofrenia
Diabetes mellitus tipo 1 con complicaciones no especificadas|Otros tipos de esquizofrenia
Diabetes mellitus tipo 1 sin complicaciones|Esquizofrenia
Diabetes mellitus tipo 1 sin complicaciones|Otros tipos de esquizofrenia
Diabetes mellitus tipo 1 sin complicaciones|Trastornos delirantes
Diabetes mellitus tipo 2 con hiperosmolaridad sin coma hiperglucémico hiperosmolar no cetósico (CHHNC)|Esquizofrenia
Diabetes mellitus tipo 2 con hiperosmolaridad sin coma hiperglucémico hiperosmolar no cetósico (CHHNC)|Otros tipos de esquizofrenia
Diabetes mellitus tipo 2 con hiperosmolaridad sin coma hiperglucémico hiperosmolar no cetósico (CHHNC)|Trastornos delirantes
Diabetes mellitus tipo 2 con hiperosmolaridad sin coma hiperglucémico hiperosmolar no cetósico (CHHNC)|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Diabetes mellitus tipo 2 con nefropatía diabética|Esquizofrenia
Diabetes mellitus tipo 2 con nefropatía diabética|Otros tipos de esquizofrenia
Diabetes mellitus tipo 2 con nefropatía diabética|Trastornos delirantes
Diabetes mellitus tipo 2 con nefropatía diabética crónica|Esquizofrenia
Diabetes mellitus tipo 2 con nefropatía diabética crónica|Trastornos delirantes
Diabetes mellitus tipo 2 con nefropatía diabética crónica|Trastornos esquizoafectivos
Diabetes mellitus tipo 2 con nefropatía diabética crónica|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
